iter	RMSE
0	0.03461459623
1	0.03177308525
2	0.02970694919
3	0.02880350989
4	0.0276156636
5	0.02605913047
6	0.0248571732
7	0.02386706376
8	0.02254536708
9	0.02183560644
10	0.02029157035
11	0.01929495995
12	0.01828261823
13	0.0172539945
14	0.01647957981
15	0.01575748726
16	0.0156800723
17	0.01494133585
18	0.01404901085
19	0.01404288824
20	0.01361920922
21	0.01295516411
22	0.012521741
23	0.01192183589
24	0.01115337381
25	0.01053748389
26	0.01008911467
27	0.009607113992
28	0.009371298976
29	0.009032811482
30	0.008526810783
31	0.008074597098
32	0.007885674373
33	0.007537714416
34	0.007370245544
35	0.007105623581
36	0.006669599798
37	0.006571349692
38	0.006153687278
39	0.006016796238
40	0.005825089965
41	0.005564239451
42	0.005423741223
43	0.005206642943
44	0.005017925237
45	0.004904584217
46	0.004743828391
47	0.004547232586
48	0.004486155417
49	0.004290547652
50	0.004256984746
51	0.004211775434
52	0.004066321021
53	0.003984634928
54	0.003806494444
55	0.003707449385
56	0.003653418463
57	0.003419557545
58	0.003378427313
59	0.003311168099
60	0.003211433885
61	0.003138815229
62	0.003100540448
63	0.003069574552
64	0.002996777613
65	0.002841518103
66	0.002801312871
67	0.002614182125
68	0.002525738433
69	0.002490003055
70	0.002410052537
71	0.002332127729
72	0.002290980248
73	0.002256641509
74	0.00222259506
75	0.002170525826
76	0.002095234489
77	0.002054612234
78	0.002034614357
79	0.002016261217
80	0.001993811235
81	0.001982249838
82	0.001917881461
83	0.001856057327
84	0.00183316272
85	0.001809875397
86	0.001734934776
87	0.001700824045
88	0.001670052486
89	0.001649464472
90	0.001626399059
91	0.001589932631
92	0.001563364104
93	0.001559414416
94	0.00155305007
95	0.001407226694
96	0.001380763031
97	0.001328732378
98	0.001320747257
99	0.001288629942
100	0.00127634897
101	0.001268059305
102	0.001153698706
103	0.001136489481
104	0.001118615783
105	0.001103396287
106	0.001056233978
107	0.001046207189
108	0.001021119815
109	0.001011817351
110	0.001009721636
111	0.0009975623614
112	0.0009746205951
113	0.0009689803235
114	0.0009574913703
115	0.0009504225917
116	0.0009465976397
117	0.0009294849677
118	0.0009274091674
119	0.000925415562
120	0.0009228370564
121	0.0009152810715
122	0.0009024691082
123	0.0008664214788
124	0.0008582185054
125	0.0007930176919
126	0.0007891177885
127	0.0007386313588
128	0.0007340079153
129	0.0007317004248
130	0.0007285870948
131	0.0007225764228
132	0.0007176578813
133	0.0007065947761
134	0.0006693707457
135	0.0006467630747
136	0.0006416959814
137	0.0006378006708
138	0.0006199692384
139	0.0006174378802
140	0.0006122713353
141	0.0006091057187
142	0.0005956451322
143	0.0005916412458
144	0.0005862335152
145	0.0005604645045
146	0.0005478887412
147	0.0005449918037
148	0.000503047738
149	0.0004949133425
150	0.0004940314092
151	0.0004754041922
152	0.0004741921662
153	0.0004717454327
154	0.0004702599624
155	0.0004690090211
156	0.0004676610289
157	0.0004663136439
158	0.0004645620641
159	0.0004233182044
160	0.0004228310664
161	0.000422361976
162	0.0004053153682
163	0.0004043747652
164	0.0003948101028
165	0.0003850289919
166	0.0003567716321
167	0.0003533955351
168	0.000351106106
169	0.0003493197196
170	0.0003484048215
171	0.00032679253
172	0.0003235798611
173	0.0003209005563
174	0.0003204905751
175	0.0003198379293
176	0.0003176084803
177	0.0002955068364
178	0.0002945398668
179	0.0002938132884
180	0.0002931508212
181	0.0002894970121
182	0.00028875034
183	0.0002559772428
184	0.0002553847673
185	0.000254995735
186	0.0002547397659
187	0.0002352693709
188	0.000223263343
189	0.0002144343538
190	0.0002134655341
191	0.0001817986521
192	0.0001807077577
193	0.0001627793174
194	0.0001614521485
195	0.0001609558397
196	0.0001603495804
197	0.0001595656758
198	0.0001366091997
199	0.0001275194886
200	0.0001270130362
201	0.0001266391424
202	0.0001259628697
203	0.0001254979675
204	0.0001252173533
205	0.0001246414266
206	0.0001123928221
207	0.000111634907
208	0.0001110040562
209	0.0001053820752
210	0.0001052070287
211	0.0001039830926
212	0.000103798763
213	9.344879927e-05
214	9.305698104e-05
215	9.251546098e-05
216	9.206847099e-05
217	9.112115396e-05
218	9.01552295e-05
219	8.700789853e-05
220	8.682143841e-05
221	8.664618507e-05
222	8.651535082e-05
223	8.618607012e-05
224	7.645223504e-05
225	7.638389473e-05
226	7.610378624e-05
227	7.331510235e-05
228	7.312373168e-05
229	7.30736399e-05
230	7.292336436e-05
231	7.178594444e-05
232	7.142863489e-05
233	7.141231933e-05
234	7.127333251e-05
235	6.306734158e-05
236	6.299352855e-05
237	5.972436209e-05
238	5.831684058e-05
239	5.196280948e-05
240	5.054809118e-05
241	5.025758412e-05
242	5.019240228e-05
243	5.006439932e-05
244	4.997183829e-05
245	4.975627751e-05
246	4.966031565e-05
247	4.841520446e-05
248	4.832996928e-05
249	4.816163442e-05
250	4.810522908e-05
251	4.569733474e-05
252	4.565850306e-05
253	4.548514037e-05
254	4.52283811e-05
255	4.482942366e-05
256	4.133595299e-05
257	4.083617563e-05
258	4.059454534e-05
259	3.825935666e-05
260	3.757176923e-05
261	3.735677624e-05
262	3.726864787e-05
263	3.716427174e-05
264	3.713175483e-05
265	3.339880717e-05
